Carrera,Escuela,Direccion,Latitud,Longitud
Diseño Gráfico Profesional,IP INACAP,Ruta 5 6,"-34,978927","-71,210928"
Diseño Gráfico Profesional,IP INACAP,Luis Durand 02150,"-38,725414","-72,630158"
Diseño Gráfico Profesional,IP INACAP,"Alcalde René Soriano Bórquez 2382, Osorno, X Región, Chile","-40,581275","-73,111407"
Diseño Gráfico Profesional,IP INACAP,"Av Bulnes km 4 Norte","-53,131432","-70,911705"
Diseño Gráfico Profesional ,IP INACAP,Santa María 2190,"-18,47005","-70,30431"
Diseño Gráfico Publicitario,IP LOS LEONES,"Arturo Prat 269, Santiago, Región Metropolitana, Chile","-33,448555","-70,649531"
Diseño Industrial,IP DUOC UC,Álvarez 2336,"-33,033689","-71,533184"
Diseño Industrial,IP DUOC UC,Camino El Alba 12881,"-33,399655","-70,506355"
Diseño Industrial,IP DUOC UC,Av Américo Vespucio 1501 Mall Plaza Oeste,"-33,516058","-70,716103"
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Brasil 2950,"-33,044542","-71,606263"
Diseño Industrial,UNIVERSIDAD DE CHILE,"Av Portugal 84, Santiago, Región Metropolitana, Chile","-33,442279","-70,638175"
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Dieciocho 161,"-33,448481","-70,657966"
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,Benavente 980,"-29,909163","-71,246865"
Diseño Mención Industrial/Gráfico/Ambienstes,UNIVERSIDAD MAYOR,Portugal 351,"-33,447138","-70,635533"
Diseño Multimedia,UNIVERSIDAD DE TARAPACA, Avenida General Velásquez 1775,"-18,470976","-70,311415"
Diseño Teatral,CFT DEL MEDIO AMBIENTE,Compañía 1264,"-33,439084","-70,654721"
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,Av. Las Condes 11121,"-33,378727",-70528683
Diseño Web & Mobile,CFT INACAP,Apoquindo 7282,"-33,408257","-70,55338"
Diseño y Producción Gráfica,CFT INACAP,Santa María 2190 ,"-18,47005","-70,30431"
Diseño y Producción Gráfica,CFT INACAP,Av. La Tirana 4310,"-20,272158","-70,126249"
Diseño y Producción Gráfica,CFT INACAP,Av - Francisco de Aguirre 389,"-29,906009","-71,252"
Diseño y Producción Gráfica,CFT INACAP,Apoquindo 7282,"-33,408257","-70,55338"
Diseño y Producción Gráfica,CFT INACAP,Brown Norte 290,"-33,452686","-70,591842"
Diseño y Producción Gráfica,CFT INACAP,Av. Concha y Toro 2730,"-33,585932","-70,580677"
Diseño y Producción Gráfica,CFT INACAP,Av. Nelson Pereira 2519,"-34,136379","-70,740001"
Diseño y Producción Gráfica,CFT INACAP,Ruta 5 6,"-34,978927","-71,210928"
Diseño y Producción Gráfica,CFT INACAP,Luis Durand 02150,"-38,725414","-72,630158"
Diseño y Producción Gráfica,CFT INACAP,"Alcalde René Soriano Bórquez 2382, Osorno, X Región, Chile","-40,581275","-73,111407"
Diseño y Producción Gráfica,CFT INACAP,"Av Bulnes km 4 Norte","-53,131432","-70,911705"
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,Río Copiapó Sur #2351,-27351285,"-70,353583"
